mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_leaf_nodes,param_model__max_depth,param_model__learning_rate,param_model__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3477431297302246,0.23298918833271454,0.03361387252807617,0.023317356227796647,50,15,5,0.4823178482239304,2.335721469090121e-06,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 15, 'model__max_depth': 5, 'model__learning_rate': 0.4823178482239304, 'model__l2_regularization': 2.335721469090121e-06}",0.5934536555521567,0.5324532453245324,0.5200876552227904,0.46726773814190514,0.5399159663865546,0.5306356521255878,0.04040366862953017,1,0.9955001730702665,0.961604980975441,0.9422463682532185,0.6219814525755211,0.6112537598121928,0.826517346937328,0.17226167002382672
0.346818208694458,0.23291834233897737,0.030799722671508788,0.023052109477884598,100,63,5,0.4823178482239304,1e-06,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 63, 'model__max_depth': 5, 'model__learning_rate': 0.4823178482239304, 'model__l2_regularization': 1e-06}",0.5111430625449317,0.5475421600287046,0.5032160423760879,0.5146533238027162,0.5239774330042314,0.5201064043513344,0.015251671802677103,2,0.9603340292275574,0.9252693778241223,0.9166568152263861,0.6293212669683258,0.622254651587012,0.8107672281666807,0.15175849450184614
0.5780807971954346,0.35436331033683705,0.052969503402709964,0.03637821081951757,50,63,8,0.042986623470822743,4.281332398719387,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 63, 'model__max_depth': 8, 'model__learning_rate': 0.042986623470822743, 'model__l2_regularization': 4.281332398719387}",0.5807514831905076,0.5239543726235741,0.4854070660522274,0.4814534443603331,0.4860166288737717,0.511516599020083,0.037904925420483716,3,0.8263721090783569,0.804987876688604,0.8053435114503817,0.657277848446302,0.6411308041599532,0.7470224299647196,0.08040502405010089
0.33866186141967775,0.2288645773822804,0.031185245513916014,0.021684014348966794,100,63,5,0.36869450645195734,4.281332398719387,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 63, 'model__max_depth': 5, 'model__learning_rate': 0.36869450645195734, 'model__l2_regularization': 4.281332398719387}",0.4977876106194691,0.557142857142857,0.5195094760312152,0.4658603199375732,0.5107000362713094,0.5102000600004848,0.029700581998127123,4,0.922915940006976,0.8923665449487046,0.8858221278603444,0.6168122270742358,0.6207046857973121,0.7877243051375146,0.13853263224727563
0.32408699989318845,0.22902232636856426,0.026837539672851563,0.014664375828601138,50,63,5,0.21544346900318823,0.026366508987303555,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 63, 'model__max_depth': 5, 'model__learning_rate': 0.21544346900318823, 'model__l2_regularization': 0.026366508987303555}",0.5801191596111634,0.517629407351838,0.50202131569276,0.4655436447166922,0.47761194029850745,0.5085850935341922,0.04013454357323353,5,0.9218422889043965,0.8905058905058906,0.8848656963672938,0.6251254447586898,0.607182856716195,0.7859044354504932,0.13928760326515727
0.5967036247253418,0.31391180071520497,0.04720029830932617,0.03068008239174448,50,127,8,0.03285993247600654,0.002069138081114788,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 127, 'model__max_depth': 8, 'model__learning_rate': 0.03285993247600654, 'model__l2_regularization': 0.002069138081114788}",0.5805391190006575,0.5170278637770898,0.47267007471490363,0.4795497185741089,0.4798785117691724,0.5059330575671863,0.040424015359303136,6,0.814994793474488,0.7943485086342228,0.7880668257756562,0.6610107644590404,0.6648723357823526,0.7446586456251519,0.06732510608388764
0.24429879188537598,0.16609285051001788,0.018957042694091798,0.013198239866270446,50,63,3,0.6309573444801932,0.004832930238571752,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 63, 'model__max_depth': 3, 'model__learning_rate': 0.6309573444801932, 'model__l2_regularization': 0.004832930238571752}",0.5651886168100596,0.5267428992991516,0.4122996968384582,0.47909339585775695,0.5301800211789623,0.5027009259968778,0.05285362119681056,7,0.9182960893854748,0.8739084876004191,0.85480232696189,0.5995623632385121,0.5914277355178468,0.7675994005408286,0.1420481368120614
0.21789355278015138,0.11747695786030769,0.01404876708984375,0.008796259299695505,100,127,2,0.16468978654828673,0.3359818286283781,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 127, 'model__max_depth': 2, 'model__learning_rate': 0.16468978654828673, 'model__l2_regularization': 0.3359818286283781}",0.5439540724793686,0.5424242424242424,0.4625302175664786,0.4941605839416058,0.45763373682155406,0.5001405706466499,0.037322008690537485,8,0.6934534118462071,0.6892416225749559,0.654796511627907,0.5785228817399184,0.5630308952867775,0.6358090646151532,0.05498509041747352
0.2731955051422119,0.12980801271067455,0.024998807907104494,0.018277122720307813,50,15,3,0.09623506263980883,6.951927961775606e-05,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 15, 'model__max_depth': 3, 'model__learning_rate': 0.09623506263980883, 'model__l2_regularization': 6.951927961775606e-05}",0.5777038269550748,0.5231247570928876,0.4774346793349169,0.45369237046103633,0.46718146718146714,0.4998274202050766,0.04539413297274932,9,0.7590277777777779,0.7268258426966292,0.6930573938154253,0.5927415668708291,0.5646668676514923,0.6672638897624308,0.07578029795079087
0.4036997318267822,0.18210458836355495,0.019349431991577147,0.004217270330571798,20,127,2,0.001711328304161781,1e-06,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 127, 'model__max_depth': 2, 'model__learning_rate': 0.001711328304161781, 'model__l2_regularization': 1e-06}",0.567598621217924,0.5614973262032086,0.5256140350877192,0.48096494534489265,0.35761589403973515,0.4986581643786959,0.07698589200085555,10,0.575240919199407,0.5961643835616438,0.5771593330826126,0.5517757009345795,0.5236790606653621,0.564803879488721,0.02492410241847735
