mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_leaf_nodes,param_model__max_depth,param_model__learning_rate,param_model__l2_regularization,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,generalization_gap_f1,worst_fold_f1,stability_ratio_f1,generalization_gap_accuracy,worst_fold_accuracy,stability_ratio_accuracy
0.30977616310119627,0.09623564518233778,0.019597768783569336,0.00511922834216177,100,31,2,0.001,0.0008858667904100823,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 31, 'model__max_depth': 2, 'model__learning_rate': 0.001, 'model__l2_regularization': 0.0008858667904100823}",0.6375379939209727,0.5737641105488517,0.6016493366798136,0.6847888953152111,0.7013135351227869,0.6398107743175271,0.048227053825486456,1,0.6767241379310344,0.6518745218056619,0.6425262131187516,0.661514945652174,0.6631960461285008,0.6591671729272245,0.01148995369801831,0.5804749340369393,0.5184696569920845,0.5114335971855761,0.5206684256816183,0.5400175901495162,0.5342128408091469,0.02499627709331173,2,0.6049165935030729,0.6001757469244289,0.5704658658072077,0.5619780219780219,0.5506418146650255,0.5776356085755514,0.021342633926062126,0.0193563986096974,0.5737641105488517,0.07537705796988063,0.043422767766404524,0.5114335971855761,0.046790857845069866
1.6372132778167725,0.6043404964568461,0.05976767539978027,0.00953280325972796,50,127,8,0.0013081774742601943,10.0,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 127, 'model__max_depth': 8, 'model__learning_rate': 0.0013081774742601943, 'model__l2_regularization': 10.0}",0.6489016924738926,0.5703971119133574,0.675759454432734,0.621472814865795,0.6438082556591211,0.63206786586898,0.03534319278454652,2,0.7330063069376315,0.7039297977871042,0.7022747266557748,0.7053465707259312,0.6966821361778762,0.7082479076568635,0.012723899755624912,0.5712401055408971,0.5290237467018469,0.5400175901495162,0.5162708883025505,0.5294635004397538,0.5372031662269129,0.018608599137208935,1,0.6654960491659351,0.6590509666080844,0.6529446234983886,0.6445054945054945,0.6149991208018287,0.6473992509159462,0.017619023810212048,0.07618004178788351,0.5703971119133574,0.05591676889942185,0.1101960846890333,0.5162708883025505,0.03463977933694591
0.2902846813201904,0.08011127566474918,0.019703483581542967,0.005498928779617761,20,127,2,0.001711328304161781,1e-06,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 127, 'model__max_depth': 2, 'model__learning_rate': 0.001711328304161781, 'model__l2_regularization': 1e-06}",0.6310491676345334,0.5657842749901225,0.5864381520119225,0.6447326795317937,0.7013135351227869,0.6258635618582318,0.0474120580164963,3,0.6686346863468635,0.6430379746835443,0.626663254861822,0.6412103746397694,0.6598462052825143,0.6478784991629027,0.014778541530386727,0.5809146877748461,0.5167106420404574,0.5118733509234829,0.5061565523306948,0.5400175901495162,0.5311345646437994,0.027422304051402776,8,0.6057945566286216,0.5973198594024605,0.5725168473483738,0.5621978021978022,0.5527518902760682,0.5781161911706653,0.02031240166294625,0.022014937304670967,0.5657842749901225,0.0757546227419386,0.04698162652686588,0.5061565523306948,0.051629673300952084
0.2587110996246338,0.0677554778084867,0.020959138870239258,0.0047389155171400224,20,63,2,0.00223872113856834,1.274274985703132e-05,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_depth': 2, 'model__learning_rate': 0.00223872113856834, 'model__l2_regularization': 1.274274985703132e-05}",0.6135717188134905,0.5552430695058256,0.5865277260885745,0.6338939197930142,0.7013135351227869,0.6181099938647383,0.04927930062869084,4,0.6623574144486692,0.6444314413887263,0.6253216675244466,0.6391284611892873,0.6598007088878486,0.6462079386877957,0.013675381065819864,0.5817941952506597,0.5131926121372031,0.5114335971855761,0.5021987686895338,0.5400175901495162,0.5297273526824978,0.028923095110601208,11,0.6101843722563652,0.5995166959578208,0.5733958394374451,0.5631868131868132,0.5527518902760682,0.5798071222229025,0.02172818175326647,0.028097944823057386,0.5552430695058256,0.07972577877372855,0.05007976954040472,0.5021987686895338,0.054599965367347784
0.24072980880737305,0.04971148876539466,0.01901521682739258,0.0071146205805216215,100,127,2,0.003831186849557285,0.002069138081114788,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 127, 'model__max_depth': 2, 'model__learning_rate': 0.003831186849557285, 'model__l2_regularization': 0.002069138081114788}",0.6062370062370063,0.5535353535353535,0.5911439114391144,0.6414610701698173,0.6972054163065399,0.6179165515375662,0.04866044209919632,5,0.6676864244741875,0.6440206595152961,0.6232147494157362,0.6393517253937904,0.6596270801309897,0.6467801277859999,0.015622037707932086,0.5835532102022867,0.5140721196130167,0.5127528583992964,0.5079155672823219,0.5378188214599824,0.5312225153913808,0.028144239226033405,6,0.6185250219490781,0.6063268892794376,0.5748608262525637,0.5647252747252747,0.5522243713733076,0.5833324767159322,0.025111627962480502,0.02886357624843372,0.5535353535353535,0.07874921294487774,0.05210996132455148,0.5079155672823219,0.052980132450331105
0.20637788772583007,0.07167603547690883,0.02164311408996582,0.00968785240687857,100,63,2,0.01122018454301963,2.335721469090121e-06,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 63, 'model__max_depth': 2, 'model__learning_rate': 0.01122018454301963, 'model__l2_regularization': 2.335721469090121e-06}",0.6047678795483062,0.5325493490130198,0.6246100519930675,0.6321243523316061,0.6892888757745648,0.616668101732113,0.05058325202298992,6,0.6800773694390715,0.6581129095933674,0.6304996755353667,0.6519959989087933,0.6590361445783133,0.6559444196109825,0.015872525990512306,0.5844327176781002,0.5105540897097626,0.5237467018469657,0.5004397537379067,0.5369393139841688,0.5312225153913808,0.029307532945869515,6,0.6369622475856014,0.6195079086115993,0.5829182537357164,0.5794505494505494,0.5521364515561807,0.5941950821879295,0.030276281587767188,0.03927631787886954,0.5325493490130198,0.08202670428535286,0.06297256679654872,0.5004397537379067,0.05516997509843318
0.21705198287963867,0.038922055849895096,0.013543415069580077,0.0034189170188275836,50,31,2,0.005011872336272725,0.000379269019073225,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 31, 'model__max_depth': 2, 'model__learning_rate': 0.005011872336272725, 'model__l2_regularization': 0.000379269019073225}",0.6054054054054054,0.5479787668436097,0.5926748057713651,0.6459667093469911,0.6906643254316652,0.6165380025598073,0.04848611390496092,7,0.6687140115163147,0.6453280318091452,0.6219385096404377,0.6448623603161625,0.6589904940420405,0.6479666814648202,0.015786330531965313,0.5826737027264732,0.5131926121372031,0.5158311345646438,0.51363236587511,0.5351802990325418,0.5321020228671944,0.026572190115436004,4,0.6211589113257243,0.6080843585237259,0.5748608262525637,0.5704395604395605,0.5521364515561807,0.5853360216195511,0.025434669193298547,0.031428678905012886,0.5479787668436097,0.07864253898973166,0.05323399875235668,0.5131926121372031,0.049938149026860716
0.22218217849731445,0.06880612424316562,0.015668106079101563,0.005529996206776295,10,31,2,0.01122018454301963,0.3359818286283781,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 31, 'model__max_depth': 2, 'model__learning_rate': 0.01122018454301963, 'model__l2_regularization': 0.3359818286283781}",0.6024298282362799,0.49508489722966936,0.6403479424556708,0.6441756842775302,0.6892888757745648,0.614265445594743,0.0656468111081777,8,0.6850058117008911,0.6593406593406593,0.6322747893713545,0.6533951458958277,0.6589432799839282,0.6577919372585322,0.016821270480595202,0.5826737027264732,0.5030782761653474,0.5272647317502199,0.5083553210202286,0.5369393139841688,0.5316622691292876,0.028318228683876946,5,0.6431079894644425,0.6186291739894552,0.584383240550835,0.580989010989011,0.5522243713733076,0.5958667572734103,0.031647236756329925,0.04352649166378919,0.49508489722966936,0.10687042805186162,0.06420448814412272,0.5030782761653474,0.05326356660639882
0.17802872657775878,0.06808167385224816,0.01637420654296875,0.004869696560161935,100,127,2,0.0735642254459641,5.455594781168514e-06,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 127, 'model__max_depth': 2, 'model__learning_rate': 0.0735642254459641, 'model__l2_regularization': 5.455594781168514e-06}",0.5883838383838385,0.4512971120900636,0.6480813381436537,0.6166551961459051,0.6685032139577594,0.5945841397442441,0.07665862943046137,9,0.7480190174326466,0.6855384615384614,0.6681715575620767,0.6730493058879846,0.6493112947658402,0.6848179274374019,0.03367853913948933,0.5699208443271768,0.5070360598065083,0.5281442392260334,0.5101143359718557,0.5237467018469657,0.527792436235708,0.022515047820597843,14,0.7208077260755048,0.6632249560632689,0.6338997949018459,0.6247252747252747,0.5523122911904343,0.6389940085912658,0.05481585736772054,0.09023378769315782,0.4512971120900636,0.12892814373325784,0.11120157235555772,0.5070360598065083,0.04265890580239918
0.32899699211120603,0.09066416729469186,0.019701147079467775,0.006313474589968563,20,15,3,0.003831186849557285,2.335721469090121e-06,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_depth': 3, 'model__learning_rate': 0.003831186849557285, 'model__l2_regularization': 2.335721469090121e-06}",0.6030820491461891,0.407235142118863,0.6443433029908973,0.6350129198966408,0.6741641337386018,0.5927675095782383,0.09549743104963444,10,0.6921887084300077,0.6508899676375405,0.6407051703723194,0.6618460989109087,0.6694521819870008,0.6630164254675555,0.01754225642781443,0.5809146877748461,0.49560246262093227,0.5189094107299912,0.5030782761653474,0.5285839929639402,0.5254177660510114,0.03006758097901997,15,0.6505706760316067,0.6208260105448155,0.5999121007910929,0.5837362637362637,0.5618076314401266,0.6033705365087811,0.030520443206027845,0.07024891588931714,0.407235142118863,0.16110436133313394,0.07795277045776972,0.49560246262093227,0.05722604548568079
